10xC,Fintech,Karachi,Pakistan,N/A,"""Digital insurance marketplace and financial services platform""","""Ignite NIC""  ",,
24Seven.pk,E-commerce,Karachi,Pakistan,Pre-Series A,"""Online grocery delivery service offering 30-minute deliveries""",N/A  ,,
A2Z Creatorz,IT Services,Karachi,Pakistan,N/A,"""Web design and development agency""",N/A  ,,
Abhi Finance,Fintech,Karachi,Pakistan,Series A,"""Salary advance and financial wellness platform for employees""","""Trusted by RTP Global"," Global Ventures""  ",
AdalFi,Fintech,Karachi,Pakistan,Seed,"""Digital lending infrastructure and credit scoring startup""",YC Alum  ,,
Affordables (Affordable.pk),E-commerce,Lahore,Pakistan,N/A,"""Online fashion retail marketplace for affordable clothing""",N/A  ,,
Agrim Commodities,AgriTech,Lahore,Pakistan,N/A,"""Commodity trading platform for agricultural products""",N/A  ,,
Airlift Technologies,Logistics,Lahore,Pakistan,Series B (Defunct),"""Former mass-transit and quick commerce startup (grocery delivery) that raised Pakistans largest funding round:contentReference[oaicite:6]{index=6}""","""Investors: Buckley Ventures"," 20VC:contentReference[oaicite:7]{index=7}""  ",
Alfoze,Marketing,Islamabad,Pakistan,N/A,"""Digital marketing and web solutions provider""",N/A  ,,
Anzen (formerly Cowlar),IoT/AgriTech,Islamabad,Pakistan,Seed,"""Smart cow monitoring IoT collars improving dairy farm productivity""","""Plan9 Incubator Alumni""  ",,
APIMatic,Developer Tools,San Francisco,USA,Series A,"""API tools and code generation platform (Pakistani-founded startup)""",TechStars Alum  ,,
Arbisoft,Software,Lahore,Pakistan,N/A,"""Software development and technology consulting company""",N/A  ,,
Arpatech,IT Services,Karachi,Pakistan,N/A,"""Tech incubator and software development firm""",N/A  ,,
Arzish Labs,Consulting,Islamabad,Pakistan,N/A,"""Startup consultancy and ecosystem builder (organizers of Pak Startup Expo)""",N/A  ,,
AssignMe,EdTech,Karachi,Pakistan,N/A,"""Online platform for student assignments and educational resources""",N/A  ,,
AugmentCare,Healthtech,Lahore,Pakistan,Series A (Acquired),"""Digital healthcare platform for telemedicine and clinic management""",Acquired (Ailaaj, 2021)  ,
Aylaaj (Ailaaj),Healthtech,Karachi,Pakistan,Series A,"""Online pharmacy and healthcare services platform (formed by AugmentCare merger)""","""N/A""  ",,
Bazaar Technologies,E-commerce,Karachi,Pakistan,Series B,"""B2B e-commerce marketplace connecting retail shops with wholesalers (raised ~$70M):contentReference[oaicite:8]{index=8}""","""Dragoneer Investment Group"," Tiger Global""  ",
BeautyHooked,Beauty Tech,Lahore,Pakistan,Seed,"""Online beauty services marketplace and salon booking platform""",500 Startups Alum  ,,
BizBite (BizByte),Media,Lahore,Pakistan,N/A,"""Digital media company providing bite-sized business news content""",N/A  ,,
Blutech Consulting,IT Services,Karachi,Pakistan,N/A,"""Technology consulting and software solutions provider""",N/A  ,,
BoloTech,EdTech,Karachi,Pakistan,N/A,"""Educational technology solutions provider (learning platforms)""",N/A  ,,
BookMe.pk,Traveltech,Lahore,Pakistan,Series A,"""Online ticketing platform for transportation and entertainment bookings (over 6M users):contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10}""","""Investors: Sarmayacar"," Beenext""  ",
Brandsynario,Media,Karachi,Pakistan,N/A,"""Digital media publisher covering brands and marketing news""",N/A  ,,
BridgeLinx,Logistics,Lahore,Pakistan,Seed,"""Digital freight marketplace connecting shippers and truckers (logistics startup)""",Sequoias Surge, peckshine  ,
BYKEA,Mobility,Karachi,Pakistan,Series B,"""Motorcycle ride-hailing and delivery super-app for transport and logistics""",Investors: Prosus, MEVP  ,
Byte,Foodtech,Karachi,Pakistan,Seed,"""Cloud kitchen and food delivery startup focusing on virtual restaurant brands""",N/A  ,,
Canary Tech,IT Services,Rawalpindi,Pakistan,N/A,"""Software development and IT outsourcing services company""",N/A  ,,
Careem,Mobility,Dubai,United Arab Emirates,Acquired,"""Ride-hailing and delivery platform operating across MENA & Pakistan (acquired by Uber)""","""Acquired by Uber (2019)""  ",,
Cariger,Auto Services,Karachi,Pakistan,N/A,"""Car maintenance and automotive services at customers doorstep""",N/A  ,,
Carpet Studio,Design,Lahore,Pakistan,N/A,"""Online custom carpets and interior design solutions startup""",N/A  ,,
Cheetay,Delivery,Lahore,Pakistan,Series A,"""Last-mile food and grocery delivery service""",Investors: UCP, Turret Capital  ,
Clozoom,Fashion Tech,Islamabad,Pakistan,N/A,"""Online custom tailoring and clothing design platform""",N/A  ,,
Cloud BPO,IT Services,Karachi,Pakistan,N/A,"""Business process outsourcing and IT support solutions provider""",N/A  ,,
Clustox,Software,Lahore,Pakistan,N/A,"""Custom software development and product engineering company""",N/A  ,,
Code for Pakistan,Civic Tech,Islamabad,Pakistan,N/A,"""Non-profit building open-source civic technology solutions""",N/A  ,,
Comparision (Comparixon),E-commerce,Karachi,Pakistan,N/A,"""Product comparison and deal discovery platform""",N/A  ,,
Confiz,Software,Lahore,Pakistan,N/A,"""Technology services and product development company (enterprise solutions)""",N/A  ,,
ContentStudio,MarTech,Islamabad,Pakistan,N/A,"""Content marketing and social media management SaaS platform""",N/A  ,,
CreditBook,Fintech,Karachi,Pakistan,Series A,"""Digital ledger app helping MSMEs track credit and payments""",Investors: Tiger Global, Afore Capital  ,
Dairy Solution,AgriTech,Lahore,Pakistan,N/A,"""Tech solutions for dairy farming and livestock management""",N/A  ,,
Daastan,Publishing,Wah,Pakistan,Seed,"""Self-publishing platform and community for writers and poets""",Plan9 Incubator Alumni  ,,
Dakar (Dastkari.pk),E-commerce,Karachi,Pakistan,N/A,"""Online marketplace for handicrafts and handmade products""",N/A  ,,
Darewro,Delivery,Karachi,Pakistan,N/A,"""On-demand delivery and errand services startup""",N/A  ,,
Daraz.pk,E-commerce,Karachi,Pakistan,Acquired,"""Pakistans largest e-commerce marketplace for a wide range of products:contentReference[oaicite:11]{index=11}""","""Acquired by Alibaba (2018):contentReference[oaicite:12]{index=12}""  ",,
Darya-e-Noor,Fintech,Karachi,Pakistan,N/A,"""Mobile wallet and digital payments platform""",N/A  ,,
Dastgyr,B2B E-commerce,Lahore,Pakistan,Series A,"""B2B marketplace for retail stores to procure inventory (raised $37M in 2022)""",Investors: VEON Ventures, SOSV  ,
Dawaai,Healthtech,Karachi,Pakistan,Series B,"""Online pharmacy and telehealth platform connecting patients to medicines:contentReference[oaicite:13]{index=13}""","""Investors: 500 Global"," Sarmayacar:contentReference[oaicite:14]{index=14}""  ",
DeafTawk,Social Tech,Islamabad,Pakistan,Seed,"""Online sign-language interpretation service for the deaf community""","""NIC Program Graduate""  ",,
DevNation,EdTech,Karachi,Pakistan,N/A,"""Online coding bootcamps and digital skills training platform""",N/A  ,,
Digikhata,Fintech,Lahore,Pakistan,Seed,"""Digital bookkeeping app for small businesses (urdu version of ledger)""",N/A  ,,
Digitaldips,Digital Media,Karachi,Pakistan,N/A,"""Digital marketing and content creation agency""",N/A  ,,
Dot & Line,EdTech,Karachi,Pakistan,Seed,"""After-school tutoring network for math education (blended online/offline)""",Accelerated by ATX+PAK  ,,
Dukaan (Apni Dukan),E-commerce,Karachi,Pakistan,N/A,"""E-commerce platform for everyday grocery and household shopping""",N/A  ,,
Eat Mubarak,Foodtech,Karachi,Pakistan,Acquired,"""Food delivery app and marketplace connecting users with restaurants""","""Acquired by FoodPanda (2020)""  ",,
Edkasa,EdTech,Lahore,Pakistan,Seed,"""Exam prep and tutoring app for high-school students (test preparation videos)""",Invest2Innovate Accelerator Alumni  ,,
EduShare (EDeQUAL),EdTech,Karachi,Pakistan,N/A,"""Online learning platform focusing on STEM education for school students""",N/A  ,,
Efrotech,Enterprise,Karachi,Pakistan,N/A,"""HR", ERP and enterprise software solutions provider (est. 1997," startup culture)""",N/A  
Ekuep Pakistan,E-commerce,Karachi,Pakistan,N/A,"""Online store for commercial kitchen and restaurant equipment""",N/A  ,,
Elegance (TheElegance.pk),E-commerce,Karachi,Pakistan,N/A,"""Customized gifts and apparel e-commerce store""",N/A  ,,
Emumba,Software,Islamabad,Pakistan,N/A,"""Product engineering and cloud services company (software development)""",N/A  ,,
Encore Pay,Fintech,Karachi,Pakistan,N/A,"""Digital payments and mobile wallet solutions provider""",N/A  ,,
Entaly,Healthtech,Lahore,Pakistan,N/A,"""Digital health platform focused on mental health therapy and counseling""",N/A  ,,
ExcelLabs,Healthtech,Islamabad,Pakistan,N/A,"""Online medical lab test booking service (diagnostics startup)""",N/A  ,,
EzBike,Mobility,Islamabad,Pakistan,Seed,"""Electric scooter sharing and ride-hailing startup""",Ignite NIC Funded  ,,
EzyStayz,Travel,Islamabad,Pakistan,N/A,"""Vacation rental marketplace (short-term rentals platform)""",N/A  ,,
Finja,Fintech,Lahore,Pakistan,Series A,"""Digital lending and payments platform for SMEs and salaried consumers""","""Investors: BeeNext"," Vostok Emerging Finance""  ",
Folio3,Software,Karachi,Pakistan,N/A,"""Software development company providing enterprise solutions (global presence)""",N/A  ,,
Fori Mazdoori,Jobs,Islamabad,Pakistan,N/A,"""Job platform connecting blue-collar workers with employers:contentReference[oaicite:15]{index=15}""",N/A  ,,
Frakta,Logistics,Karachi,Pakistan,N/A,"""E-commerce fulfillment and last-mile delivery solution""",N/A  ,,
Gaditek,IT Services,Karachi,Pakistan,N/A,"""Technology company (parent of multiple startups in VPN", cloud," etc.)""",N/A  
GharPar,On-demand,Lahore,Pakistan,Seed,"""At-home beauty and salon services platform (booking beauticians via app)""",Accelerated by Invest2Innovate  ,,
Ghoomophiro,Travel,Islamabad,Pakistan,N/A,"""Online tour booking and travel experiences marketplace""",N/A  ,,
Ginyaki,Foodtech,Islamabad,Pakistan,N/A,"""Cloud kitchen and online food delivery restaurant (Pan-Asian cuisine)""",N/A  ,,
Gluu Studios,Media,Karachi,Pakistan,N/A,"""Animation and content studio specializing in 3D/2D animation (creative startup)""",N/A  ,,
GoLootlo,Fintech,Karachi,Pakistan,N/A,"""Deals"," discounts and loyalty rewards app with card integration""",N/A  ,
Goho (GoHo Rooms),Travel,Lahore,Pakistan,N/A,"""Online budget hotel booking platform (like OYO for Pakistan)""",N/A  ,,
Goto.com.pk,E-commerce,Karachi,Pakistan,N/A,"""E-commerce marketplace for electronics"," fashion and more (TCS venture)""",N/A  ,
GrocerApp,E-commerce,Lahore,Pakistan,Series A,"""Online grocery shopping app with same-day delivery (Punjab focus)""",Acquired by DoorPom (2022)  ,,
Gwadar Gems,Marketplace,Gwadar,Pakistan,N/A,"""Online marketplace for Balochistans gemstones and minerals""",N/A  ,,
Healthwire,Healthtech,Lahore,Pakistan,Series A,"""Healthcare marketplace for doctor appointments and digitizing clinics""",Investors: 47 Ventures, Habib Bank  ,
Hysab Kytab,Fintech,Karachi,Pakistan,Acquired,"""Personal finance management app (budgeting) integrated into banks""","""Acquired by JBS (2021)""  ",,
IlmFeed (Medium.pk),Media,Lahore,Pakistan,N/A,"""Content and news platform focusing on educational and motivational content""",N/A  ,,
Inertia (Interacta),Enterprise,Lahore,Pakistan,N/A,"""Employee engagement and internal communications enterprise platform""",N/A  ,,
Insanely (Whynot Pvt Ltd),E-commerce,Karachi,Pakistan,N/A,"""Custom merchandise and t-shirt printing e-commerce service""",N/A  ,,
Investors Lounge,Fintech,Karachi,Pakistan,N/A,"""Online stock market and investment portfolio tracking platform""",N/A  ,,
i8 (Innovators Lab),EdTech,Karachi,Pakistan,N/A,"""Makerspace and STEM education lab for students and hobbyists""",N/A  ,,
JazzCash,Fintech,Islamabad,Pakistan,N/A,"""Mobile wallet and digital payments app (by Jazz Telecom"," included as fintech innovator)""",N/A  ,
Jinni (BeautyJinny),E-commerce,Lahore,Pakistan,N/A,"""Online cosmetics and beauty products shopping platform""",N/A  ,,
JoChaho (Jochaho.pk),E-commerce,Karachi,Pakistan,N/A,"""Online shopping platform for a variety of products (general marketplace)""",N/A  ,,
Jugnu (Sales Junction),E-commerce,Lahore,Pakistan,Series A,"""B2B wholesale marketplace enabling kirana (corner) stores to source inventory""",Investors: Systems Ltd, Middle East VCs  ,
KBM Electronics,Hardware,Karachi,Pakistan,N/A,"""Manufacturer of electronic kits and IoT devices (hardware startup)""",N/A  ,,
Keenu,Fintech,Karachi,Pakistan,N/A,"""Digital payments and merchant POS solutions provider""",N/A  ,,
KheloKricket,Sports,Karachi,Pakistan,N/A,"""Cricket community platform for match scheduling and score tracking""",N/A  ,,
Khwab,Social,Lahore,Pakistan,N/A,"""Crowdfunding platform for social causes and community projects""",N/A  ,,
Kolachi Advanced Tech,AI,Karachi,Pakistan,N/A,"""Artificial intelligence and machine learning solutions provider""",N/A  ,,
Krave Mart,E-commerce,Karachi,Pakistan,Pre-Series A,"""Quick commerce startup for 30-minute grocery delivery (dark stores model)""",Investors: MSA Capital, GFC  ,
LAAM,Marketplace,Lahore,Pakistan,Seed,"""Online fashion marketplace for Pakistani designer clothing""","""Investors: Zayn Capital"," i2i Ventures""  ",
Lahore University of Management Sciences (LUMS Center),Incubator,Lahore,Pakistan,N/A,"""University-based center supporting startups and entrepreneurship (e.g. NIC Lahore)""",N/A  ,,
Lasta,AutoTech,Islamabad,Pakistan,N/A,"""Online marketplace for buying and selling used cars (similar to CarFirst)""",N/A  ,,
Logistan,Logistics,Karachi,Pakistan,N/A,"""Freight transport marketplace connecting truck owners with shippers""",NIC Alum  ,,
Love for Data,AI,Karachi,Pakistan,N/A,"""Data science and AI solutions startup focusing on big data analytics""",N/A  ,,
Mauqa Online,On-demand,Islamabad,Pakistan,Seed,"""Platform for on-demand household staff (maids"," cleaners) in Pakistan""",NIC Islamabad Incubator Alum  ,
MedsOnline (MedOnline.pk),Healthtech,Karachi,Pakistan,Seed,"""Online pharmacy delivering medicines and healthcare products""",Accelerated by Nest I/O  ,,
MeraDoctor (Marham),Healthtech,Lahore,Pakistan,Series A,"""Doctor discovery and appointment booking platform for patients""",Plan9 Incubator Alumni  ,,
Mera Sabaq (Taleemabad),EdTech,Islamabad,Pakistan,Grant,"""Educational app featuring cartoon-based lessons aligned with Pakistans curriculum""","""Winner of UNICEF Innovation Fund""  ",,
Meri Gari,AutoTech,Karachi,Pakistan,N/A,"""Automotive marketplace for used cars and motorcycles""",N/A  ,,
Mintype,Legal Tech,Karachi,Pakistan,N/A,"""Digital platform for legal documents and company registration services""",N/A  ,,
Motive (KeepTruckin),Logistics,San Francisco,USA,Series E,"""Fleet management and logistics platform (Pakistani-founded unicorn with large R&D in Pakistan)""",Investors: IVP, Kleiner Perkins  ,
Mauqa (Mawazna.com),Fintech,Lahore,Pakistan,N/A,"""Financial products comparison platform (insurance", banking," broadband etc.)""",N/A  
Neon (Nearpeer),EdTech,Lahore,Pakistan,Pre-Series A,"""Online learning platform for university entrance and professional exams preparation""",Accelerated by Acumen Pakistan  ,,
NEXT (Next Degree),IT Services,Karachi,Pakistan,N/A,"""IT consulting and software development firm""",N/A  ,,
NayaPay,Fintech,Karachi,Pakistan,Seed,"""Digital wallet and fintech app offering payments and soon a banking suite (EMI licensed)""",Investors: Meran Bank, Graphene Ventures  ,
Nutright,Healthtech,Lahore,Pakistan,Seed,"""AI-based fitness and diet coaching app tailored for Pakistani users""",N/A  ,,
OpenPort,PLogistics,Karachi,Pakistan,N/A,"""Blockchain-based logistics platform for freight and supply chain (PK-Asia focus)""",N/A  ,,
Oraan,Fintech,Karachi,Pakistan,Seed,"""Women-focused fintech for ROSCAs (committee savings) and financial inclusion""","""Investors: Zayn Capital"," Wavemaker""  ",
Orenda (Taleemabad),EdTech,Islamabad,Pakistan,Grant,"""Studio creating educational cartoon content and a learning app for kids""","""NIC Islamabad Incubator Graduate""  ",,
PakWheels.com,AutoTech,Lahore,Pakistan,N/A,"""Leading automotive classifieds portal for cars and bikes (community forums"," reviews)""",N/A  ,
Patari,Entertainment,Lahore,Pakistan,Seed,"""Music streaming service for Pakistani music and artists (local Spotify equivalent)""",Plan9 Incubator Alumni  ,,
PayPro,Fintech,Karachi,Pakistan,Seed,"""B2B and B2C payments gateway and bill aggregation platform""",N/A  ,,
Peeyade,Travel,Karachi,Pakistan,N/A,"""Platform for booking customizable travel experiences and tours""",N/A  ,,
PiePie,Social,Lahore,Pakistan,N/A,"""Social networking app for sharing short audio clips and voice notes""",N/A  ,,
Pliro,Healthtech,Islamabad,Pakistan,Seed,"""Healthcare platform for managing doctor appointments and practice management""",Invest2Innovate Accelerator Alum  ,,
PostEx,Fintech,Lahore,Pakistan,Series A,"""Hybrid of courier service and fintech offering cash-on-delivery financing to e-commerce sellers""",Investors: MSA Capital, RTP Global  ,
PriceOye,E-commerce,Islamabad,Pakistan,Series A,"""Online electronics shopping platform offering trusted prices and authentic products""","""Y Combinator S21 Alum"," backed by JS Group""  ",
ProCheck,Healthtech,Karachi,Pakistan,Seed,"""Pharma authentication and supply chain solution (SMS verification of medicines)""",Accelerated by NIC Karachi  ,,
QisstPay,Fintech,Islamabad,Pakistan,Series A,"""Buy-now-pay-later (BNPL) payments startup for e-commerce shoppers (instalment payments)""",Investors: Valour, VentureDive  ,
Qodo,SaaS,Karachi,Pakistan,N/A,"""Team collaboration and task management SaaS tool""",N/A  ,,
Qubolt,AI,Karachi,Pakistan,N/A,"""AI-driven customer service chatbot and NLP solutions provider""",N/A  ,,
Recurship,Software,Karachi,Pakistan,N/A,"""Product development studio working with global startups (consulting/dev shop)""",N/A  ,,
RepairDesk,SAAS,Lahore,Pakistan,Series A,"""Cloud software for cellphone repair shops to manage point-of-sale and inventory""",Accelerated by Plan9  ,,
Retailo,Commerce,Riyadh,Saudi Arabia,Series A,"""B2B retail supply marketplace (Pakistani-founded"," operating in MENAP region)""",Investors: Shorooq Partners, Abercross  
Rider Logistics,Logistics,Karachi,Pakistan,Pre-Series A,"""Last-mile delivery startup for e-commerce parcels (network across Pakistan)""",Investors: GFC, Fatima Gobi Ventures  ,
Roamer,Travel,Islamabad,Pakistan,N/A,"""Car rental marketplace platform connecting travelers with vehicle owners""",N/A  ,,
Roomy,Travel,Islamabad,Pakistan,Seed,"""Tech-enabled boutique hotel chain and online booking platform""",N/A  ,,
SadaPay,Fintech,Islamabad,Pakistan,Seed,"""Mobile digital bank offering free debit card and app-based banking with no fees""",Investors: Recharge Capital, Defy.vc  ,
SafePay,Fintech,Karachi,Pakistan,Acquired,"""Online payment gateway enabling digital transactions for Pakistani merchants""","""Acquired by Stripe (2022)""  ",,
Sastaticket.pk,Traveltech,Karachi,Pakistan,Series A,"""Online travel agency for booking flights", hotels," and bus tickets conveniently""",Incubated at The Nest I/O  
Sehat Kahani,Healthtech,Karachi,Pakistan,Series A,"""Telemedicine platform connecting patients with online doctors"," focusing on female doctors""","""Investors: Elahi Group"," Impact Investment Exchange""  "
Sender (formerly *PostHang*),Logistics,Lahore,Pakistan,N/A,"""Logistics SaaS for e-commerce fulfillment and inventory management""",N/A  ,,
Shopsy.pk,E-commerce,Islamabad,Pakistan,N/A,"""Product search engine and price comparison site aggregating online stores""",N/A  ,,
Skool.pk,EdTech,Lahore,Pakistan,N/A,"""Online portal for educational resources and school/course listings""",N/A  ,,
Smartchoice.pk,Fintech,Karachi,Pakistan,Seed,"""Financial products comparison platform (insurance", credit cards," broadband)""","""Accelerated by Google Developers Launchpad""  "
SnelStart,Fintech,Islamabad,Pakistan,N/A,"""Accounting and bookkeeping software localized for Pakistans SMEs""",N/A  ,,
Soch (SochWare),AgriTech,Lahore,Pakistan,N/A,"""AI-based solution for crop disease detection and farm advice (agricultural startup)""",Winner of NASA SpaceApps Pakistan  ,,
Stallion Deliveries,Logistics,Karachi,Pakistan,N/A,"""Courier and last-mile delivery startup for e-commerce and individuals""",N/A  ,,
StudyBaq,EdTech,Lahore,Pakistan,N/A,"""Online marketplace for buying and selling academic notes and study material""",N/A  ,,
Sukoon.com,Services,Karachi,Pakistan,Seed,"""Home services marketplace for plumbing", electrical," handyman services (acquired by Careem 2019)""",Acquired by Careem  
Sunbonn,IT Services,Lahore,Pakistan,N/A,"""Software development firm delivering solutions for finance and healthcare industries""",N/A  ,,
SWVL,Mobility,Cairo,Egypt,Series D,"""Bus-hailing and mass-transit startup operating in Pakistan and other markets (Pak team acquired by SWVL Egypt)""",Acquired (public via SPAC)  ,,
Symbios.pk,E-commerce,Karachi,Pakistan,N/A,"""One of the earliest e-commerce stores in Pakistan for electronics and gadgets""",N/A  ,,
Tag (TAG Innovation),Fintech,Islamabad,Pakistan,Seed,"""Digital banking startup offering wallets and debit cards (EMI) for Pakistan (in early stage)""",Y Combinator W21 Alum  ,,
Tajir,Commerce,Lahore,Pakistan,Series A,"""B2B marketplace enabling kirana stores to buy inventory wholesale via app (raised $17M):contentReference[oaicite:16]{index=16}""","""Investors: Kleiner Perkins"," Y Combinator""  ",
Taleemi Mela,EdTech,Karachi,Pakistan,N/A,"""Online marketplace for school supplies", uniforms," and textbooks""",N/A  
Tapmad,Media,Karachi,Pakistan,N/A,"""OTT streaming platform for live TV and on-demand content (entertainment startup)""",N/A  ,,
Tazah,AgriTech,Lahore,Pakistan,Seed,"""Farm-to-business marketplace for fresh produce supply (optimizing agri supply chain)""",Investors: Fatima Gobi, Vibe Capital  ,
TechAbout,IT Services,Lahore,Pakistan,N/A,"""Software development and digital marketing solutions company""",N/A  ,,
TechJuice,Media,Lahore,Pakistan,N/A,"""Online publication covering technology news and startup ecosystem updates""",N/A  ,,
Tez Financial,Fintech,Karachi,Pakistan,Acquired,"""Digital lender offering nano-loans via mobile app (first digital lending NBFC in PK)""","""Acquired by ZoodPay (2022)""  ",,
Thrive,Healthtech,Islamabad,Pakistan,N/A,"""AI-driven personal fitness and nutrition coaching app""",N/A  ,,
TILT (The Innovators Lab),Incubator,Karachi,Pakistan,N/A,"""Startup incubator and innovation lab supporting early-stage tech companies""",N/A  ,,
TizenX,Blockchain,Lahore,Pakistan,N/A,"""Blockchain development studio and consulting (focused on decentralized apps)""",N/A  ,,
Tkxel,Software,Lahore,Pakistan,N/A,"""Software development and IT consulting company serving global clients""",N/A  ,,
Trukkr,Fintech,Karachi,Pakistan,Seed,"""Trucking marketplace with embedded financing for freight operators (logistics fintech)""",Investors: Y Combinator, Haitou Global  ,
Truck It In,Logistics,Karachi,Pakistan,Seed,"""Online platform connecting truck owners with load providers to book freight shipments""","""Investors: GFC"," Picus Capital""  ",
Turing Tech,AI,Karachi,Pakistan,N/A,"""Artificial intelligence R&D lab working on machine vision and automation projects""",N/A  ,,
URAD (Wukla),Legal Tech,Karachi,Pakistan,N/A,"""Digital legal services platform providing contract templates and lawyer matchmaking""",NIC Peshawar Alum  ,,
UrduBit,Crypto,Karachi,Pakistan,N/A,"""Cryptocurrency exchange and trading platform (focused on Pakistani market)""",N/A  ,,
UrduPoint,Media,Lahore,Pakistan,N/A,"""Largest Urdu-language digital news and content portal (est. as startup in early 2000s)""",N/A  ,,
Vceela,E-commerce,Lahore,Pakistan,Seed,"""Online marketplace enabling artisans to sell handicrafts and handmade products globally""",Plan9 Incubator Alumni  ,,
Vector AI,AI,Lahore,Pakistan,N/A,"""Machine learning platform for unstructured data analytics (AI startup)""",N/A  ,,
Vitado,Agritech,Karachi,Pakistan,N/A,"""Smart hydroponics and home gardening startup offering IoT-enabled plant systems""",N/A  ,,
Vouch365,Consumer,Karachi,Pakistan,N/A,"""Mobile app offering 2-for-1 deals and discounts at restaurants and services via annual membership""",N/A  ,,
Wavetec,Fintech,Karachi,Pakistan,N/A,"""Customer experience solutions and fintech (queue management", kiosks," also runs Pakistans stock trading app)""",N/A  
WeRecycle,Greentech,Islamabad,Pakistan,N/A,"""Technology-enabled waste management and recycling service (on-demand pickup of recyclables)""",N/A  ,,
WooTech,Software,Karachi,Pakistan,N/A,"""Custom software and mobile app development startup""",N/A  ,,
WonderTree,EdTech,Karachi,Pakistan,Seed,"""Augmented reality games for special-needs children therapy and education""",Accelerated by The Nest I/O  ,,
Xarbi,PropTech,Peshawar,Pakistan,N/A,"""Property listing portal and real estate marketplace in KPK region""",N/A  ,,
Xylexa,Healthtech,Islamabad,Pakistan,Seed,"""AI-based diagnostic platform for medical imaging (e.g. breast cancer detection)""","""NIC Islamabad Incubator Alum""  ",,
Yayvo,E-commerce,Karachi,Pakistan,N/A,"""E-commerce shopping website (launched by TCS Courier as a startup spin-off)""",N/A  ,,
Zameen.com,PropTech,Lahore,Pakistan,Late-stage,"""Pakistans leading online real estate portal for property listings and transactions""",EMPG Portfolio (Unicorn)  ,,
Zarya,Commerce,Lahore,Pakistan,Seed,"""Social commerce platform enabling women to resell clothing via WhatsApp (inventory on consignment)""",Y Combinator W22 Alum  ,,
Zeenat,Healthtech,Karachi,Pakistan,N/A,"""Teletherapy platform connecting patients with mental health therapists online""",N/A  ,,
Zigron,Software,Islamabad,Pakistan,N/A,"""Product development and software engineering company (IoT", cloud," UX design)""",N/A  
ZoodMall (Pakistan),E-commerce,Lahore,Pakistan,N/A,"""Online shopping app offering a variety of products with installment payment options (part of ZoodPay)""",N/A  ,,
Zork,Gaming,Karachi,Pakistan,N/A,"""Game development studio creating mobile and PC games for global audiences""",N/A  ,,
Zouq.pk,E-commerce,Karachi,Pakistan,N/A,"""Online marketplace for home décor"," furniture and lifestyle products""",N/A  ,
